pair,pos,pa
rA:dG,1,0.857142857
rA:dG,2,0.785714286
rA:dG,3,0.428571429
rA:dG,4,0.352941176
rA:dG,5,0.5
rA:dG,6,0.454545455
rA:dG,7,0.4375
rA:dG,8,0.428571429
rA:dG,9,0.571428571
rA:dG,10,0.333333333
rA:dG,11,0.4
rA:dG,12,0.263157895
rA:dG,13,0.210526316
rA:dG,14,0.214285714
rA:dG,15,0.272727273
rA:dG,16,0
rA:dG,17,0.176470588
rA:dG,18,0.19047619
rA:dG,19,0.206896552
rA:dG,20,0.227272727
rA:dC,1,1
rA:dC,2,0.8
rA:dC,3,0.611111111
rA:dC,4,0.625
rA:dC,5,0.72
rA:dC,6,0.714285714
rA:dC,7,0.705882353
rA:dC,8,0.733333333
rA:dC,9,0.666666667
rA:dC,10,0.555555556
rA:dC,11,0.65
rA:dC,12,0.722222222
rA:dC,13,0.652173913
rA:dC,14,0.466666667
rA:dC,15,0.65
rA:dC,16,0.192307692
rA:dC,17,0.176470588
rA:dC,18,0.4
rA:dC,19,0.375
rA:dC,20,0.764705882
rA:dA,1,1
rA:dA,2,0.727272727
rA:dA,3,0.705882353
rA:dA,4,0.636363636
rA:dA,5,0.363636364
rA:dA,6,0.714285714
rA:dA,7,0.4375
rA:dA,8,0.428571429
rA:dA,9,0.6
rA:dA,10,0.882352941
rA:dA,11,0.307692308
rA:dA,12,0.333333333
rA:dA,13,0.3
rA:dA,14,0.533333333
rA:dA,15,0.2
rA:dA,16,0
rA:dA,17,0.133333333
rA:dA,18,0.5
rA:dA,19,0.538461538
rA:dA,20,0.6
rC:dT,1,1
rC:dT,2,0.727272727
rC:dT,3,0.866666667
rC:dT,4,0.842105263
rC:dT,5,0.571428571
rC:dT,6,0.928571429
rC:dT,7,0.75
rC:dT,8,0.65
rC:dT,9,0.857142857
rC:dT,10,0.866666667
rC:dT,11,0.75
rC:dT,12,0.714285714
rC:dT,13,0.384615385
rC:dT,14,0.35
rC:dT,15,0.222222222
rC:dT,16,1
rC:dT,17,0.466666667
rC:dT,18,0.538461538
rC:dT,19,0.428571429
rC:dT,20,0.5
rC:dC,1,0.913043478
rC:dC,2,0.695652174
rC:dC,3,0.5
rC:dC,4,0.5
rC:dC,5,0.6
rC:dC,6,0.5
rC:dC,7,0.470588235
rC:dC,8,0.642857143
rC:dC,9,0.619047619
rC:dC,10,0.388888889
rC:dC,11,0.25
rC:dC,12,0.444444444
rC:dC,13,0.136363636
rC:dC,14,0
rC:dC,15,0.05
rC:dC,16,0.153846154
rC:dC,17,0.058823529
rC:dC,18,0.133333333
